Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
07/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,U.S. Bancorp,CA,92591,,N/A,Referral,07/31/2013,Closed with monetary relief,Yes,No,469632
07/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Application, originator, mortgage broker",,,,Bank of America,IL,60443,,N/A,Web,08/01/2013,Closed with explanation,Yes,No,469173
07/29/2013,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,Wells Fargo & Company,CA,96088,,N/A,Web,08/01/2013,Closed with explanation,Yes,No,469185
07/29/2013,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,CA,91605,,N/A,Web,07/29/2013,Closed with non-monetary relief,Yes,No,469201
07/29/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",OH,45150,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469210
07/29/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Northland Group, Inc.",FL,32233,Servicemember,N/A,Referral,08/01/2013,Closed with explanation,Yes,No,469252
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"SunTrust Banks, Inc.",FL,32084,,N/A,Referral,08/02/2013,Closed with non-monetary relief,Yes,No,469863
07/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Bank of America,FL,33234,,N/A,Web,07/30/2013,Closed with non-monetary relief,Yes,No,469255
07/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"SunTrust Banks, Inc.",FL,32505,,N/A,Referral,08/02/2013,Closed,Yes,No,469811
07/29/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Santander Consumer USA Holdings Inc,CA,92677,,N/A,Referral,08/05/2013,Closed,Yes,Yes,479329
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Land/Home Financial Services,MI,48382,,N/A,Fax,08/06/2013,Closed with explanation,No,,454668
07/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,NJ,08530,,N/A,Postal mail,07/30/2013,Closed with monetary relief,Yes,No,475273
07/29/2013,Credit card,,Delinquent account,,,,Amex,TX,78232,,N/A,Web,07/29/2013,Closed with monetary relief,Yes,No,479990
07/29/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,GA,30041,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469293
07/29/2013,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,Wells Fargo & Company,TX,77381,,N/A,Postal mail,07/30/2013,Closed with explanation,Yes,No,469309
07/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Ocwen,MA,02368,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469334
07/29/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",FL,33133,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469340
07/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,CIT Bank National Association,NY,11101,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,469487
07/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,CA,91701,,N/A,Web,08/01/2013,Closed with explanation,Yes,No,469394
07/29/2013,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,"Alpine Financial Solutions, Inc.",KY,42303,Older American,N/A,Postal mail,12/04/2013,Closed with explanation,Yes,No,469408
07/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,TN,37218,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469411
07/29/2013,Bank account or service,Checking account,Problems caused by my funds being low,,,,Wells Fargo & Company,NJ,08618,Older American,N/A,Phone,07/30/2013,Closed with explanation,Yes,No,469414
07/29/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Citibank,GA,30135,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469423
07/29/2013,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,MO,64725,,N/A,Fax,07/29/2013,Closed with explanation,Yes,No,479282
07/29/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,U.S. Bancorp,MN,55414,,N/A,Web,08/01/2013,Closed with non-monetary relief,Yes,No,469428
07/29/2013,Credit card,,Billing disputes,,,,Capital One,FL,32226,Servicemember,N/A,Web,07/29/2013,Closed with explanation,Yes,No,475777
07/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,CA,92277,,N/A,Web,08/05/2013,Closed with explanation,Yes,No,469446
07/29/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,First Tennessee Bank,TN,37806,Servicemember,N/A,Phone,07/30/2013,Closed with explanation,Yes,Yes,469447
07/29/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,Discover,MA,02043,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,467427
07/29/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,91741,,N/A,Phone,07/30/2013,Closed with explanation,Yes,No,464039
07/29/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Bank of America,CA,91320,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,469461
07/29/2013,Credit card,,Credit line increase/decrease,,,,Citibank,WI,53066,Older American,N/A,Phone,07/30/2013,Closed with explanation,Yes,Yes,469473
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,CA,95765,,N/A,Web,07/30/2013,Closed with explanation,Yes,Yes,469479
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,CIT Bank National Association,CA,95363,,N/A,Phone,07/31/2013,Closed,Yes,No,469499
07/29/2013,Debt collection,Credit card,Communication tactics,Threatened to take legal action,,,"Borenstein & Associates, LLC",WY,82605,,N/A,Web,09/17/2013,Closed,Yes,No,469501
07/29/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,"Houston Home Loan, Inc.",TX,77386,,N/A,Web,08/30/2013,Closed with explanation,Yes,Yes,469513
07/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,NY,10038,,N/A,Web,08/13/2013,Closed,Yes,No,480183
07/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,VA,24112,Older American,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469525
07/29/2013,Bank account or service,Other bank product/service,Problems caused by my funds being low,,,,Bank of America,NY,11716,"Older American, Servicemember",N/A,Phone,08/01/2013,Closed with explanation,Yes,No,469537
07/29/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"Fidelity National Information Services, Inc. (FNIS)",CT,06514,,N/A,Referral,08/21/2013,Closed with explanation,Yes,No,469507
07/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,People's United Bank,CT,06514,,N/A,Referral,07/31/2013,Closed with explanation,Yes,No,469508
07/29/2013,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,"Citizens Financial Group, Inc.",VT,05770,Servicemember,N/A,Web,08/01/2013,Closed with non-monetary relief,Yes,No,469589
07/30/2013,Consumer Loan,Vehicle lease,Managing the loan or lease,,,,Ally Financial Inc.,MI,48238,,N/A,Fax,08/01/2013,Closed with explanation,Yes,No,469241
07/29/2013,Consumer Loan,Vehicle lease,Managing the loan or lease,,,,"Asset Management Outsourcing, Inc.",NY,11030,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,469606
07/30/2013,Credit card,,Payoff process,,,,Wells Fargo & Company,NV,89108,Servicemember,N/A,Phone,08/02/2013,Closed with explanation,Yes,No,470828
07/30/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Bank of America,CA,95219,,N/A,Web,07/31/2013,Closed with non-monetary relief,Yes,No,470831
07/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,TD Bank US Holding Company,NJ,07656,,N/A,Postal mail,07/31/2013,Closed with monetary relief,Yes,No,480463
07/29/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,"TransUnion Intermediate Holdings, Inc.",CO,80247,,N/A,Web,07/29/2013,Closed with non-monetary relief,Yes,No,479873
07/30/2013,Bank account or service,Checking account,Using a debit or ATM card,,,,JPMorgan Chase & Co.,NY,11772,,N/A,Web,08/01/2013,Closed with explanation,Yes,No,472678
07/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,FL,33326,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,469641
07/30/2013,Bank account or service,Savings account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,NY,10469,,N/A,Web,08/01/2013,Closed with explanation,Yes,No,470665
07/30/2013,Credit card,,Closing/Cancelling account,,,,Citibank,TX,78249,,N/A,Web,07/30/2013,Closed with explanation,Yes,Yes,470852
07/31/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,GA,30680,,N/A,Web,08/01/2013,Closed with non-monetary relief,Yes,Yes,470863
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,MI,49042,,N/A,Referral,08/02/2013,Closed with explanation,Yes,No,469653
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,NY,11230,,N/A,Referral,07/30/2013,Closed with explanation,Yes,No,455630
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,95020,,N/A,Referral,07/31/2013,Closed with explanation,Yes,No,469660
07/29/2013,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,AZ,85138,,N/A,Referral,07/30/2013,Closed with explanation,Yes,Yes,467092
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,NY,10803,,N/A,Referral,07/30/2013,Closed with explanation,Yes,Yes,469664
07/29/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Ocwen,MA,02126,,N/A,Referral,08/01/2013,Closed,Yes,No,469666
07/31/2013,Credit card,,Billing statement,,,,JPMorgan Chase & Co.,DE,19809,,N/A,Web,07/30/2013,Closed with monetary relief,Yes,No,479338
07/31/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Santander Bank US,NJ,07106,,N/A,Web,08/01/2013,Closed with explanation,Yes,No,470903
07/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,HSBC North America Holdings Inc.,OH,44112,Older American,N/A,Phone,07/30/2013,Closed with explanation,Yes,No,469669
07/29/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Experian,NY,14622,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,469670
07/31/2013,Debt collection,Credit card,Taking/threatening an illegal action,Sued w/o proper notification of suit,,,Encore Capital Group,NY,14212,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,487029
07/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,IN,47265,Older American,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469678
07/30/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Fidelity National Information Services, Inc. (FNIS)",CO,81302,,N/A,Web,09/17/2013,Closed with explanation,Yes,No,469732
07/31/2013,Credit card,,Payoff process,,,,Citibank,NJ,07018,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,480935
07/31/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,NY,14212,,N/A,Web,07/31/2013,Closed with explanation,Yes,Yes,493136
07/31/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,CA,95037,,N/A,Web,07/31/2013,Closed with explanation,Yes,Yes,454695
07/30/2013,Debt collection,Federal student loan,Communication tactics,Frequent or repeated calls,,,"Navient Solutions, Inc.",NY,10026,,N/A,Web,07/29/2013,Closed with explanation,Yes,No,469736
07/31/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Citibank,CA,90045,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,748242
07/31/2013,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,The Moore Law Group,CA,91711,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,470913
07/30/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Franklin Collection Service, Inc.",IL,60440,,N/A,Phone,08/01/2013,Closed with explanation,Yes,No,469711
07/31/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,HSBC North America Holdings Inc.,FL,32747,,N/A,Web,07/31/2013,Closed with explanation,Yes,Yes,482443
07/30/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,EverBank,TN,37217,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469734
07/31/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",DE,19668,,N/A,Postal mail,08/26/2013,Closed with explanation,Yes,No,501508
07/30/2013,Credit card,,Credit determination,,,,Wells Fargo & Company,CA,95409,Older American,N/A,Web,07/29/2013,Closed with explanation,Yes,No,469738
07/30/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,CO,80206,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469739
07/30/2013,Credit card,,Credit determination,,,,Bank of America,FL,34983,,N/A,Web,07/31/2013,Closed with explanation,Yes,Yes,469752
07/30/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Professional Debt Mediation, Inc.",FL,32304,,N/A,Web,09/19/2013,Closed with explanation,Yes,No,469753
07/30/2013,Debt collection,Mortgage,Communication tactics,Threatened to take legal action,,,"Select Portfolio Servicing, Inc",NY,11234,,N/A,Web,07/29/2013,Closed with explanation,Yes,Yes,466892
07/30/2013,Credit card,,Identity theft / Fraud / Embezzlement,,,,Barclays PLC,SC,29412,,N/A,Web,07/29/2013,Closed with explanation,Yes,No,469755
07/31/2013,Credit reporting,,Incorrect information on credit report,Account terms,,,Capital One,GA,30126,,N/A,Web,08/02/2013,Closed with explanation,Yes,No,470928
07/30/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,CA,91320,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,476001
07/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,NC,28075,Servicemember,N/A,Referral,08/05/2013,Closed with explanation,Yes,No,470978
07/30/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,MN,55390,,N/A,Postal mail,08/12/2013,Closed with explanation,Yes,No,469777
07/30/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,IA,50325,,N/A,Postal mail,08/12/2013,Closed with explanation,Yes,No,469781
07/30/2013,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,"TransUnion Intermediate Holdings, Inc.",OH,43701,,N/A,Web,07/30/2013,Closed with explanation,Yes,Yes,479487
07/31/2013,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Experian,IL,60633,,N/A,Postal mail,08/02/2013,Closed with non-monetary relief,Yes,No,470951
07/31/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,,,Receivables Performance Management LLC,NY,11205,,N/A,Web,07/31/2013,Closed with explanation,Yes,Yes,470955
07/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,NC,28457,,N/A,Referral,07/31/2013,Closed with explanation,Yes,No,470012
07/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,AL,36526,,N/A,Referral,07/31/2013,Closed with explanation,Yes,No,470091
07/30/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,NJ,07111,,N/A,Referral,08/19/2013,Closed with non-monetary relief,Yes,No,469792
07/31/2013,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,"TransUnion Intermediate Holdings, Inc.",IL,60633,,N/A,Postal mail,08/02/2013,Closed with explanation,Yes,No,470962
07/31/2013,Bank account or service,Checking account,Problems caused by my funds being low,,,,TD Bank US Holding Company,FL,33186,,N/A,Referral,08/02/2013,Closed with monetary relief,Yes,No,471071
07/31/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,U.S. Bancorp,WI,53130,,N/A,Referral,08/05/2013,Closed with explanation,Yes,No,470985
07/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,93111,,N/A,Referral,07/31/2013,Closed with explanation,Yes,No,470103
07/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,AL,36854,,N/A,Referral,07/31/2013,Closed with monetary relief,Yes,No,470206
07/31/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,FL,33558,,N/A,Phone,11/03/2013,Closed with explanation,Yes,No,470970
07/30/2013,Credit card,,APR or interest rate,,,,Amex,MA,02215,,N/A,Referral,08/02/2013,Closed with explanation,Yes,No,470132
07/30/2013,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,"Convergent Resources, Inc.",NV,89074,,N/A,Referral,08/01/2013,Closed,Yes,No,469810
07/30/2013,Credit card,,Billing disputes,,,,Amex,NY,12060,,N/A,Referral,08/02/2013,Closed with explanation,Yes,Yes,470151
07/30/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,TX,78239,,N/A,Fax,07/31/2013,Closed with explanation,Yes,Yes,475278
07/31/2013,Credit card,,Transaction issue,,,,Discover,OR,97086,,N/A,Referral,08/02/2013,Closed with non-monetary relief,Yes,No,471053
07/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,GA,30121,,N/A,Referral,09/19/2013,Closed with explanation,Yes,No,535169
07/30/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Ocwen,VA,20878,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,474284
07/31/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,MI,48439,,N/A,Postal mail,08/26/2013,Closed with explanation,Yes,No,471000
07/30/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",MD,21078,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,479648
07/31/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Provident Funding,CT,06106,,N/A,Web,08/05/2013,Closed with explanation,Yes,No,474893
07/31/2013,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,,,Bank of America,NY,11581,,N/A,Web,08/05/2013,Closed with explanation,Yes,Yes,471014
07/31/2013,Credit card,,Balance transfer fee,,,,Discover,CA,91356,,N/A,Web,07/31/2013,Closed with non-monetary relief,Yes,No,470488
07/30/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,GA,30121,,N/A,Web,07/31/2013,Closed with non-monetary relief,Yes,Yes,471164
07/31/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Specialized Loan Servicing LLC,CA,94565,,N/A,Web,08/05/2013,Closed,Yes,No,471015
07/30/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Bank of America,IL,60626,,N/A,Phone,07/31/2013,Closed with monetary relief,Yes,No,469836
07/31/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TransUnion Intermediate Holdings, Inc.",OR,97236,,N/A,Postal mail,08/20/2013,Closed with explanation,Yes,No,471021
07/30/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,OK,73053,Older American,N/A,Web,07/30/2013,Closed with explanation,Yes,No,468212
07/30/2013,Mortgage,Reverse mortgage,"Loan modification,collection,foreclosure",,,,CIT Bank National Association,FL,34237,,N/A,Referral,07/31/2013,Closed with explanation,Yes,Yes,479907
07/31/2013,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,MO,63456,,N/A,Web,08/06/2013,Closed with non-monetary relief,Yes,No,480943
07/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,MO,64048,,N/A,Referral,07/31/2013,Closed with explanation,Yes,No,470235
07/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,95117,,N/A,Postal mail,08/05/2013,Closed with explanation,Yes,No,471037
07/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,SC,29212,Servicemember,N/A,Referral,07/31/2013,Closed with explanation,Yes,Yes,470298
07/31/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Contacted me after I asked not to,,,Total Recovery Solutions,TX,77551,,N/A,Web,08/16/2013,Closed with explanation,Yes,Yes,482436
07/31/2013,Credit card,,Billing disputes,,,,Bank of America,MT,59446,,N/A,Phone,08/02/2013,Closed with monetary relief,Yes,No,471048
07/31/2013,Credit reporting,,Incorrect information on credit report,Public record,,,Experian,AL,35124,,N/A,Web,07/31/2013,Closed with non-monetary relief,Yes,No,476098
07/30/2013,Mortgage,Other mortgage,Other,,,,Ditech Financial LLC,NH,03431,,N/A,Referral,08/02/2013,Closed with explanation,Yes,No,469980
07/31/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Afni, Inc.",NY,14623,,N/A,Postal mail,07/31/2013,Closed with explanation,Yes,Yes,461803
07/31/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,PA,19015,,N/A,Web,08/02/2013,Closed with explanation,Yes,No,473955
07/30/2013,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Experian,TX,76706,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,470018
07/30/2013,Debt collection,Auto,Communication tactics,Frequent or repeated calls,,,Santander Consumer USA Holdings Inc,IL,62650,Servicemember,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469982
07/30/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,BMW Financial Services,IL,60601,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,469979
07/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,MD,20878,,N/A,Referral,07/31/2013,Closed,Yes,No,470507
